epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6280.64,0.8991,0.90419,1.36638,0.94285,0.75,0.85947,0.61269,0.89547,1.21268,1.60758,0.0014588,0.0014588,0.0014588
43,6461.4,0.92846,0.87983,1.34924,0.82543,0.67558,0.78447,0.5408,1.03375,1.3548,1.68362,0.0014456,0.0014456,0.0014456
44,6616.97,0.90113,0.85918,1.35337,0.85041,1,0.97405,0.67122,0.98862,0.99467,1.66016,0.0014324,0.0014324,0.0014324
45,6772.08,0.83557,0.79105,1.34474,0.89985,0.96278,0.96771,0.54274,1.25943,1.02643,1.99024,0.0014192,0.0014192,0.0014192
46,6930.42,0.95504,0.82417,1.34424,0.92973,0.94531,0.98324,0.66338,1.03374,0.86719,1.74291,0.001406,0.001406,0.001406
47,7094.12,0.91813,0.84331,1.39542,0.9285,0.92766,0.97865,0.68525,0.99104,0.89764,1.72486,0.0013928,0.0013928,0.0013928
48,7246.5,0.813,0.79866,1.3009,0.75727,0.85714,0.86332,0.51942,1.25398,1.0506,2.04398,0.0013796,0.0013796,0.0013796
49,7404.28,0.86658,0.82594,1.31445,0.85925,0.96429,0.93369,0.52169,1.29591,1.14079,2.09468,0.0013664,0.0013664,0.0013664
50,7554.92,0.84952,0.8437,1.32152,0.89106,0.82143,0.92606,0.62339,1.08108,0.93203,1.78241,0.0013532,0.0013532,0.0013532
51,7712.2,0.91447,0.87672,1.37968,0.86987,0.95519,0.95139,0.69173,0.89402,0.76888,1.59897,0.00134,0.00134,0.00134
52,7865.4,0.77386,0.75693,1.26526,0.96246,0.91591,0.9253,0.64095,0.93797,0.9316,1.65574,0.0013268,0.0013268,0.0013268
53,8022.42,0.79346,0.7232,1.25601,0.89944,0.95853,0.93386,0.65607,0.95731,0.7962,1.67328,0.0013136,0.0013136,0.0013136
54,8178.12,0.83601,0.76781,1.29079,0.92731,0.96429,0.93706,0.68794,0.92277,0.76534,1.67116,0.0013004,0.0013004,0.0013004
55,8334.28,0.80412,0.72245,1.26987,0.88902,0.89286,0.92438,0.63888,0.98383,0.99065,1.68357,0.0012872,0.0012872,0.0012872
56,8485.44,0.87622,0.77195,1.35131,0.7088,0.78248,0.79055,0.50156,1.14954,1.32151,1.79835,0.001274,0.001274,0.001274
57,8640.56,0.79769,0.72204,1.27868,0.67871,0.71429,0.74035,0.48495,1.22289,1.37525,1.84962,0.0012608,0.0012608,0.0012608
58,8801.37,0.83483,0.77223,1.34212,0.92192,0.84371,0.91006,0.58514,1.12228,0.89945,1.86341,0.0012476,0.0012476,0.0012476
59,8967.33,0.86371,0.76588,1.32431,0.92885,0.96429,0.9325,0.64232,1.11867,0.77002,1.87754,0.0012344,0.0012344,0.0012344
60,9125.89,0.84678,0.73162,1.27634,0.89571,0.92046,0.91993,0.65672,0.99602,0.81166,1.74348,0.0012212,0.0012212,0.0012212
61,9290.57,0.83974,0.73384,1.33554,0.87009,0.95704,0.93449,0.66036,0.95855,0.78938,1.75287,0.001208,0.001208,0.001208
62,9459.21,0.91701,0.86423,1.362,0.94541,0.96429,0.98545,0.69975,0.89321,0.74836,1.59073,0.0011948,0.0011948,0.0011948
63,9611.67,0.82226,0.66753,1.31115,0.96061,1,0.99397,0.70162,0.84222,0.8332,1.55759,0.0011816,0.0011816,0.0011816
64,9770.71,0.79951,0.71919,1.26097,0.99218,1,0.995,0.65205,0.97772,0.94878,1.71153,0.0011684,0.0011684,0.0011684
65,9922.9,0.82343,0.67999,1.28951,0.94743,0.96429,0.96482,0.66285,0.99295,0.91432,1.75068,0.0011552,0.0011552,0.0011552
66,10077.5,0.78732,0.69681,1.27384,0.89143,0.96429,0.92779,0.67323,0.9756,0.83752,1.74036,0.001142,0.001142,0.001142
67,10232,0.79974,0.70066,1.28577,0.89469,0.96429,0.90806,0.70769,0.94411,0.80619,1.71033,0.0011288,0.0011288,0.0011288
68,10385.2,0.78568,0.72253,1.25551,0.82445,0.92857,0.90314,0.64417,0.94909,0.94429,1.70317,0.0011156,0.0011156,0.0011156
69,10536,0.74518,0.66286,1.23758,0.81866,0.92857,0.91271,0.66453,0.88346,0.90573,1.58461,0.0011024,0.0011024,0.0011024
