epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,32534.1,0.62932,0.83524,1.2396,0.72276,0.86842,0.90876,0.73432,0.70883,0.82376,1.37543,0.0015941,0.0015941,0.0015941
43,33349.5,0.61016,0.82078,1.21083,0.81071,0.8988,0.90394,0.70868,0.72824,0.70556,1.3772,0.0015842,0.0015842,0.0015842
44,34145.1,0.60812,0.81613,1.21901,0.81685,0.84743,0.91657,0.71813,0.76685,0.72332,1.40488,0.0015743,0.0015743,0.0015743
45,35006.5,0.60468,0.81329,1.22048,0.8863,0.82341,0.94457,0.751,0.72577,0.65626,1.34588,0.0015644,0.0015644,0.0015644
46,35862.9,0.62612,0.80137,1.23588,0.79041,0.90233,0.9256,0.71628,0.75489,0.68134,1.40073,0.0015545,0.0015545,0.0015545
47,36808.9,0.62129,0.82405,1.22336,0.83937,0.91447,0.94066,0.76594,0.73043,0.64856,1.41799,0.0015446,0.0015446,0.0015446
48,37760,0.61443,0.82661,1.22002,0.79691,0.82213,0.88261,0.6883,0.74612,0.73462,1.39803,0.0015347,0.0015347,0.0015347
49,38598.6,0.61843,0.8231,1.2187,0.87113,0.88168,0.94767,0.75502,0.72627,0.61716,1.37935,0.0015248,0.0015248,0.0015248
50,39468.7,0.58313,0.79246,1.21142,0.80714,0.8721,0.93262,0.7723,0.68502,0.68692,1.31792,0.0015149,0.0015149,0.0015149
51,40350.2,0.59193,0.80908,1.214,0.80676,0.8733,0.91793,0.73494,0.71494,0.75608,1.3647,0.001505,0.001505,0.001505
52,41231.6,0.59105,0.79298,1.20483,0.82335,0.91582,0.94271,0.74956,0.73364,0.61139,1.39058,0.0014951,0.0014951,0.0014951
53,42102.4,0.61144,0.78508,1.21433,0.80245,0.85526,0.92713,0.73273,0.76887,0.75649,1.39362,0.0014852,0.0014852,0.0014852
54,42950.9,0.60295,0.81479,1.22094,0.75963,0.88258,0.9409,0.75832,0.75022,0.77893,1.41765,0.0014753,0.0014753,0.0014753
55,43837.8,0.60839,0.78503,1.22253,0.82811,0.82008,0.91186,0.70992,0.75874,0.70577,1.43394,0.0014654,0.0014654,0.0014654
56,44630.7,0.60472,0.79129,1.2224,0.87475,0.86842,0.9371,0.78952,0.66606,0.5987,1.31573,0.0014555,0.0014555,0.0014555
57,45501,0.62289,0.79952,1.22335,0.84372,0.89474,0.95182,0.79625,0.67408,0.59197,1.31003,0.0014456,0.0014456,0.0014456
58,46374.6,0.5891,0.7785,1.20283,0.8733,0.83834,0.93931,0.74008,0.75447,0.70354,1.41908,0.0014357,0.0014357,0.0014357
59,47239.6,0.58263,0.77714,1.19974,0.89854,0.88816,0.95026,0.79571,0.62233,0.58338,1.26617,0.0014258,0.0014258,0.0014258
60,48108,0.56935,0.74038,1.18566,0.93002,0.84436,0.9554,0.80897,0.64332,0.60164,1.29613,0.0014159,0.0014159,0.0014159
61,48974.2,0.57051,0.79549,1.19948,0.85625,0.87478,0.9558,0.75596,0.74406,0.6638,1.38274,0.001406,0.001406,0.001406
62,49840.9,0.59742,0.76953,1.20854,0.84164,0.91032,0.93395,0.77561,0.66886,0.62661,1.31334,0.0013961,0.0013961,0.0013961
63,50710,0.57192,0.73238,1.19347,0.84686,0.91447,0.94702,0.76777,0.68401,0.63193,1.31109,0.0013862,0.0013862,0.0013862
64,51573.1,0.57258,0.75449,1.2065,0.8786,0.93421,0.96175,0.78381,0.71931,0.59655,1.35844,0.0013763,0.0013763,0.0013763
65,52441.8,0.57597,0.75273,1.19812,0.87123,0.93033,0.95457,0.7898,0.68075,0.56899,1.32696,0.0013664,0.0013664,0.0013664
66,53311.6,0.55566,0.76299,1.18664,0.84485,0.875,0.93279,0.74929,0.6906,0.63968,1.3341,0.0013565,0.0013565,0.0013565
67,54179.9,0.56028,0.74779,1.18191,0.83029,0.90748,0.94267,0.77082,0.6824,0.64881,1.35563,0.0013466,0.0013466,0.0013466
68,54956.6,0.59645,0.76006,1.20899,0.84415,0.89474,0.93967,0.75368,0.74234,0.61271,1.36263,0.0013367,0.0013367,0.0013367
69,55591.1,0.57427,0.75423,1.19434,0.81565,0.92292,0.94712,0.77015,0.71689,0.58886,1.35742,0.0013268,0.0013268,0.0013268
70,56244.8,0.5504,0.73035,1.1634,0.84723,0.91447,0.94004,0.77319,0.67038,0.62002,1.29092,0.0013169,0.0013169,0.0013169
71,56883.2,0.56661,0.74566,1.18116,0.88557,0.86509,0.93741,0.79153,0.64768,0.59138,1.2584,0.001307,0.001307,0.001307
72,57520.2,0.58099,0.74057,1.19084,0.83453,0.93747,0.94825,0.78569,0.68373,0.58177,1.2839,0.0012971,0.0012971,0.0012971
73,58146,0.55307,0.70401,1.16377,0.88621,0.85842,0.93693,0.77385,0.67311,0.5996,1.29573,0.0012872,0.0012872,0.0012872
74,58782.2,0.53866,0.72587,1.16649,0.87148,0.92763,0.94929,0.79629,0.62508,0.57365,1.25909,0.0012773,0.0012773,0.0012773
75,59424.3,0.55089,0.69306,1.18185,0.9118,0.875,0.9526,0.77554,0.71597,0.57524,1.34595,0.0012674,0.0012674,0.0012674
76,60063,0.55157,0.71839,1.18926,0.90995,0.88265,0.95701,0.78547,0.64212,0.58746,1.2563,0.0012575,0.0012575,0.0012575
77,60693,0.54365,0.69974,1.16978,0.91519,0.8918,0.9553,0.80838,0.6791,0.56734,1.30053,0.0012476,0.0012476,0.0012476
78,61358.4,0.53487,0.70762,1.17283,0.8478,0.92105,0.94248,0.7879,0.69781,0.57753,1.33395,0.0012377,0.0012377,0.0012377
79,62186.4,0.52401,0.68511,1.15382,0.82961,0.84868,0.9387,0.76567,0.66643,0.72346,1.32566,0.0012278,0.0012278,0.0012278
80,63125.6,0.53997,0.6841,1.1661,0.9051,0.88756,0.95066,0.77273,0.66005,0.56272,1.30028,0.0012179,0.0012179,0.0012179
81,63942,0.55383,0.71097,1.18865,0.88079,0.89654,0.94974,0.78583,0.65518,0.5776,1.27892,0.001208,0.001208,0.001208
82,64807.5,0.55134,0.70293,1.17753,0.80404,0.88816,0.93875,0.7771,0.67298,0.65985,1.32472,0.0011981,0.0011981,0.0011981
83,65688.8,0.53981,0.66917,1.17598,0.89758,0.87119,0.95118,0.79637,0.67872,0.5792,1.28987,0.0011882,0.0011882,0.0011882
84,66562.9,0.54333,0.69889,1.16051,0.89561,0.8811,0.94942,0.79912,0.65693,0.58748,1.26131,0.0011783,0.0011783,0.0011783
85,67598.2,0.53498,0.68793,1.16838,0.8712,0.92569,0.95665,0.80467,0.65979,0.53192,1.28874,0.0011684,0.0011684,0.0011684
86,68551.4,0.55568,0.70336,1.18445,0.87761,0.89166,0.95524,0.78425,0.6676,0.52537,1.30474,0.0011585,0.0011585,0.0011585
87,69505.1,0.53171,0.65944,1.15794,0.86623,0.87023,0.94832,0.79707,0.66029,0.57529,1.29865,0.0011486,0.0011486,0.0011486
88,70374.3,0.55341,0.69512,1.17785,0.81351,0.906,0.94122,0.76743,0.65898,0.61101,1.30736,0.0011387,0.0011387,0.0011387
89,71217.9,0.52135,0.67228,1.1537,0.83346,0.88632,0.9413,0.79393,0.66347,0.54979,1.30591,0.0011288,0.0011288,0.0011288
90,72045.4,0.51937,0.67739,1.15861,0.81443,0.92402,0.94814,0.80077,0.65121,0.63903,1.28797,0.0011189,0.0011189,0.0011189
91,72883.1,0.53877,0.67827,1.16514,0.8772,0.8709,0.95613,0.79507,0.67191,0.61632,1.34868,0.001109,0.001109,0.001109
92,73773.9,0.52901,0.66496,1.15644,0.77982,0.95395,0.94024,0.78815,0.65374,0.59417,1.26663,0.0010991,0.0010991,0.0010991
93,74658.5,0.53226,0.65307,1.16342,0.87349,0.89682,0.93246,0.78365,0.64244,0.59472,1.28057,0.0010892,0.0010892,0.0010892
94,75555,0.534,0.65791,1.16995,0.86697,0.93046,0.9497,0.79945,0.66573,0.54993,1.30775,0.0010793,0.0010793,0.0010793
95,76449.6,0.52474,0.65844,1.15497,0.847,0.9123,0.96411,0.82333,0.62956,0.5844,1.26726,0.0010694,0.0010694,0.0010694
96,77340.6,0.54914,0.68699,1.16916,0.8363,0.90992,0.9593,0.82126,0.64583,0.59319,1.27445,0.0010595,0.0010595,0.0010595
97,78234.9,0.51441,0.64174,1.14814,0.82086,0.9199,0.95165,0.78889,0.62381,0.59216,1.26477,0.0010496,0.0010496,0.0010496
98,79130.1,0.50382,0.65297,1.14459,0.90937,0.875,0.95591,0.8166,0.61141,0.52917,1.24381,0.0010397,0.0010397,0.0010397
99,80028.1,0.53699,0.67893,1.16877,0.90446,0.91349,0.95657,0.80996,0.64325,0.52489,1.2799,0.0010298,0.0010298,0.0010298
100,80975.8,0.5035,0.63562,1.14105,0.80346,0.88495,0.9304,0.77682,0.68006,0.70054,1.34624,0.0010199,0.0010199,0.0010199
101,81762.4,0.50931,0.66673,1.15015,0.86925,0.86458,0.93356,0.78935,0.64004,0.64682,1.28588,0.00101,0.00101,0.00101
102,82802.9,0.5125,0.64081,1.1463,0.85058,0.88816,0.94348,0.78623,0.65879,0.6978,1.29023,0.0010001,0.0010001,0.0010001
103,83775.6,0.52609,0.65046,1.15783,0.82589,0.88143,0.93346,0.79214,0.66042,0.72377,1.30605,0.0009902,0.0009902,0.0009902
104,84791.3,0.51752,0.66496,1.15695,0.92243,0.89004,0.96217,0.81999,0.63283,0.54932,1.27605,0.0009803,0.0009803,0.0009803
105,85689.4,0.51644,0.64571,1.14777,0.93289,0.88423,0.95267,0.81289,0.60487,0.50771,1.24394,0.0009704,0.0009704,0.0009704
106,86546.7,0.49794,0.62402,1.14009,0.92815,0.90789,0.95464,0.7963,0.66035,0.55301,1.31199,0.0009605,0.0009605,0.0009605
107,87448.1,0.50613,0.64564,1.15063,0.89573,0.94822,0.96403,0.80102,0.67833,0.51787,1.32293,0.0009506,0.0009506,0.0009506
108,88354.8,0.49148,0.61246,1.12924,0.88588,0.96444,0.96149,0.81111,0.63088,0.51482,1.26656,0.0009407,0.0009407,0.0009407
109,89220.5,0.50208,0.589,1.13637,0.87537,0.93665,0.96259,0.80792,0.63339,0.52459,1.27653,0.0009308,0.0009308,0.0009308
110,90005.1,0.4959,0.60701,1.12967,0.81884,0.91679,0.94519,0.78846,0.62764,0.63441,1.26785,0.0009209,0.0009209,0.0009209
111,90798.4,0.49839,0.62278,1.13652,0.86905,0.87579,0.94103,0.78649,0.6625,0.60634,1.326,0.000911,0.000911,0.000911
112,91585.1,0.50842,0.59541,1.14526,0.89743,0.84223,0.96394,0.80787,0.6572,0.6125,1.29048,0.0009011,0.0009011,0.0009011
113,92404.2,0.4898,0.61596,1.14093,0.885,0.91755,0.9606,0.82594,0.63369,0.50849,1.27725,0.0008912,0.0008912,0.0008912
114,93193.7,0.5032,0.62346,1.14849,0.88523,0.9453,0.96769,0.81854,0.64041,0.51169,1.28649,0.0008813,0.0008813,0.0008813
115,94016,0.48856,0.60822,1.12583,0.86618,0.8743,0.95892,0.80949,0.62672,0.6055,1.25748,0.0008714,0.0008714,0.0008714
116,94809.1,0.50567,0.61229,1.14442,0.90762,0.91249,0.95852,0.82393,0.63054,0.51177,1.24736,0.0008615,0.0008615,0.0008615
117,95600.6,0.49034,0.604,1.12973,0.86126,0.88922,0.95312,0.81986,0.61533,0.54756,1.24596,0.0008516,0.0008516,0.0008516
118,96399.4,0.5039,0.61534,1.13895,0.82286,0.91868,0.93503,0.7958,0.63385,0.58577,1.2875,0.0008417,0.0008417,0.0008417
119,97181.6,0.46372,0.58706,1.11824,0.86222,0.91666,0.95694,0.8123,0.65338,0.53429,1.31622,0.0008318,0.0008318,0.0008318
120,97968.9,0.48925,0.59892,1.1338,0.91832,0.9057,0.97089,0.82687,0.66729,0.55525,1.32996,0.0008219,0.0008219,0.0008219
121,98765,0.48906,0.58368,1.12773,0.91554,0.92731,0.96402,0.82794,0.63592,0.5111,1.2691,0.000812,0.000812,0.000812
122,99568.2,0.49786,0.58805,1.13746,0.90318,0.8975,0.95175,0.81121,0.63823,0.55289,1.28049,0.0008021,0.0008021,0.0008021
123,100359,0.49345,0.60076,1.13016,0.88699,0.9297,0.95052,0.81596,0.64387,0.54097,1.28457,0.0007922,0.0007922,0.0007922
124,101148,0.47429,0.59057,1.12078,0.88588,0.89545,0.95632,0.82953,0.60834,0.51625,1.24612,0.0007823,0.0007823,0.0007823
125,101941,0.48657,0.59629,1.13181,0.87608,0.93023,0.96102,0.83052,0.61379,0.50495,1.25456,0.0007724,0.0007724,0.0007724
126,102726,0.47125,0.57445,1.10978,0.78369,0.92105,0.94497,0.8165,0.64187,0.65635,1.27703,0.0007625,0.0007625,0.0007625
127,103512,0.47321,0.57106,1.12342,0.90136,0.89474,0.94725,0.82835,0.60159,0.5409,1.23252,0.0007526,0.0007526,0.0007526
128,104328,0.47211,0.57892,1.11745,0.91344,0.88158,0.95689,0.81562,0.61181,0.58397,1.25483,0.0007427,0.0007427,0.0007427
129,105119,0.48379,0.56906,1.13873,0.91607,0.93345,0.95548,0.81755,0.63043,0.5114,1.26019,0.0007328,0.0007328,0.0007328
130,105905,0.4724,0.54791,1.1223,0.92302,0.91197,0.95085,0.81199,0.64912,0.50659,1.2789,0.0007229,0.0007229,0.0007229
131,106692,0.46739,0.58229,1.11919,0.89254,0.91861,0.95005,0.80904,0.64899,0.52788,1.27476,0.000713,0.000713,0.000713
132,107494,0.47572,0.57295,1.12145,0.90614,0.94756,0.96524,0.8303,0.62258,0.51386,1.26041,0.0007031,0.0007031,0.0007031
133,108275,0.46658,0.58608,1.12242,0.92317,0.90789,0.95246,0.82762,0.62932,0.52215,1.26159,0.0006932,0.0006932,0.0006932
134,109059,0.46558,0.56401,1.11262,0.91789,0.88071,0.94138,0.80587,0.63486,0.54539,1.26828,0.0006833,0.0006833,0.0006833
135,109843,0.46631,0.55921,1.11703,0.89484,0.90132,0.94624,0.81822,0.59908,0.53867,1.22874,0.0006734,0.0006734,0.0006734
136,110644,0.46872,0.54268,1.11825,0.86854,0.9601,0.95951,0.825,0.61344,0.50269,1.24064,0.0006635,0.0006635,0.0006635
137,111481,0.45824,0.55944,1.104,0.89244,0.93647,0.94448,0.8094,0.6206,0.50736,1.27664,0.0006536,0.0006536,0.0006536
138,112319,0.47216,0.56129,1.10824,0.8757,0.92489,0.94932,0.82366,0.60399,0.53801,1.25343,0.0006437,0.0006437,0.0006437
139,113152,0.46806,0.56511,1.1155,0.90334,0.93672,0.95659,0.82952,0.61967,0.51988,1.25168,0.0006338,0.0006338,0.0006338
140,113993,0.44878,0.55177,1.09908,0.91043,0.91447,0.95544,0.8251,0.62715,0.50012,1.262,0.0006239,0.0006239,0.0006239
141,114828,0.45549,0.56573,1.11333,0.92636,0.90566,0.95592,0.82217,0.61059,0.5084,1.24371,0.000614,0.000614,0.000614
142,115657,0.44486,0.52694,1.1066,0.93117,0.90132,0.95754,0.82139,0.61991,0.47718,1.2578,0.0006041,0.0006041,0.0006041
143,116510,0.46634,0.55032,1.10765,0.86935,0.86842,0.94466,0.81069,0.63261,0.56177,1.28596,0.0005942,0.0005942,0.0005942
144,117347,0.4509,0.54147,1.10145,0.87472,0.91447,0.95325,0.81205,0.64605,0.53265,1.29292,0.0005843,0.0005843,0.0005843
145,118179,0.45603,0.52646,1.1124,0.87817,0.89713,0.94684,0.81827,0.62596,0.53327,1.26215,0.0005744,0.0005744,0.0005744
146,119009,0.45969,0.51489,1.10341,0.83958,0.94137,0.95144,0.82654,0.60808,0.55138,1.24775,0.0005645,0.0005645,0.0005645
147,119791,0.43514,0.52172,1.08989,0.90078,0.94658,0.96092,0.84286,0.59122,0.47198,1.22068,0.0005546,0.0005546,0.0005546
148,120630,0.44717,0.54746,1.10341,0.92169,0.92763,0.96373,0.8389,0.59608,0.46635,1.22209,0.0005447,0.0005447,0.0005447
149,121481,0.44083,0.50375,1.09781,0.89907,0.93311,0.96305,0.84891,0.57022,0.49201,1.20296,0.0005348,0.0005348,0.0005348
150,122370,0.45533,0.514,1.10404,0.90265,0.91359,0.95782,0.84168,0.57762,0.4996,1.19841,0.0005249,0.0005249,0.0005249
151,123270,0.44122,0.53659,1.0881,0.89039,0.89474,0.94975,0.84318,0.56577,0.50972,1.20244,0.000515,0.000515,0.000515
152,124074,0.44078,0.52977,1.086,0.88076,0.89233,0.94535,0.84143,0.56581,0.50963,1.20114,0.0005051,0.0005051,0.0005051
153,124900,0.44205,0.51359,1.09655,0.85971,0.91261,0.95234,0.83365,0.60321,0.52424,1.24045,0.0004952,0.0004952,0.0004952
154,125710,0.43601,0.50146,1.08758,0.90963,0.89134,0.95267,0.83916,0.57957,0.52472,1.20929,0.0004853,0.0004853,0.0004853
155,126479,0.45557,0.52394,1.10342,0.84686,0.95483,0.95016,0.83661,0.59499,0.5431,1.23136,0.0004754,0.0004754,0.0004754
156,127258,0.44442,0.51023,1.10025,0.94562,0.88595,0.95663,0.84087,0.59223,0.51482,1.22323,0.0004655,0.0004655,0.0004655
157,128032,0.43872,0.51203,1.0978,0.85973,0.93633,0.95586,0.82841,0.60395,0.56817,1.23668,0.0004556,0.0004556,0.0004556
158,128824,0.43614,0.5112,1.09487,0.92867,0.92763,0.95795,0.83659,0.59861,0.48045,1.23294,0.0004457,0.0004457,0.0004457
159,129619,0.43945,0.52234,1.09236,0.9204,0.9477,0.96462,0.8448,0.60495,0.47368,1.23364,0.0004358,0.0004358,0.0004358
160,130354,0.43258,0.50328,1.10035,0.91447,0.94297,0.94774,0.8338,0.59997,0.50122,1.23475,0.0004259,0.0004259,0.0004259
161,131133,0.43933,0.48385,1.10576,0.92705,0.9207,0.95392,0.83765,0.59557,0.4884,1.23533,0.000416,0.000416,0.000416
162,131925,0.4351,0.50992,1.08831,0.90008,0.92763,0.94832,0.82535,0.61242,0.50989,1.24734,0.0004061,0.0004061,0.0004061
163,132800,0.41589,0.4687,1.08813,0.91373,0.92763,0.94977,0.82639,0.60629,0.50419,1.25025,0.0003962,0.0003962,0.0003962
164,133685,0.42163,0.48439,1.08965,0.88286,0.95395,0.94876,0.82182,0.60933,0.49554,1.23948,0.0003863,0.0003863,0.0003863
165,134579,0.41549,0.48085,1.08028,0.90783,0.91759,0.94976,0.83158,0.59479,0.50169,1.22053,0.0003764,0.0003764,0.0003764
166,135464,0.43574,0.49441,1.0935,0.90728,0.93049,0.94872,0.8225,0.61631,0.52781,1.25195,0.0003665,0.0003665,0.0003665
167,136339,0.42618,0.49497,1.08035,0.93333,0.89068,0.95074,0.83551,0.60047,0.49303,1.23768,0.0003566,0.0003566,0.0003566
168,137223,0.42293,0.46897,1.08421,0.92365,0.91578,0.95698,0.84563,0.60569,0.49835,1.23958,0.0003467,0.0003467,0.0003467
169,138104,0.42034,0.46604,1.09484,0.88988,0.93022,0.95512,0.83939,0.60973,0.49052,1.2406,0.0003368,0.0003368,0.0003368
170,138996,0.41939,0.47751,1.08524,0.93444,0.91882,0.95566,0.83551,0.60604,0.48961,1.24636,0.0003269,0.0003269,0.0003269
171,139982,0.40286,0.46162,1.07551,0.8938,0.92837,0.95594,0.83081,0.60147,0.50404,1.23259,0.000317,0.000317,0.000317
172,141050,0.40489,0.47686,1.07368,0.88928,0.93981,0.95343,0.83435,0.60883,0.51024,1.24756,0.0003071,0.0003071,0.0003071
173,142216,0.3974,0.46884,1.06899,0.94076,0.90789,0.95865,0.83975,0.61627,0.47072,1.24791,0.0002972,0.0002972,0.0002972
174,143215,0.41451,0.47465,1.08273,0.88166,0.88553,0.95378,0.83478,0.60648,0.56744,1.2466,0.0002873,0.0002873,0.0002873
175,144200,0.41951,0.47999,1.08424,0.94901,0.90789,0.95722,0.84306,0.59714,0.48175,1.25398,0.0002774,0.0002774,0.0002774
176,145062,0.425,0.48236,1.08609,0.91605,0.91175,0.95137,0.8287,0.59427,0.50427,1.24457,0.0002675,0.0002675,0.0002675
177,145967,0.40644,0.45581,1.07751,0.86785,0.94891,0.9496,0.83589,0.56913,0.51597,1.21115,0.0002576,0.0002576,0.0002576
178,146836,0.39989,0.45588,1.06604,0.92266,0.86842,0.94357,0.83535,0.57207,0.51921,1.22551,0.0002477,0.0002477,0.0002477
179,147907,0.41221,0.43822,1.07536,0.93717,0.88637,0.94831,0.84063,0.56543,0.49301,1.21004,0.0002378,0.0002378,0.0002378
180,148878,0.39375,0.43994,1.06327,0.8881,0.93132,0.95054,0.83859,0.57659,0.50506,1.21033,0.0002279,0.0002279,0.0002279
181,150089,0.40155,0.44073,1.07348,0.86234,0.94757,0.94439,0.8281,0.58127,0.52338,1.2172,0.000218,0.000218,0.000218
182,151448,0.39146,0.462,1.06847,0.897,0.91486,0.94659,0.83611,0.58526,0.50678,1.22705,0.0002081,0.0002081,0.0002081
183,152829,0.38994,0.4583,1.0567,0.89837,0.91447,0.94965,0.83141,0.58831,0.51049,1.23824,0.0001982,0.0001982,0.0001982
184,153897,0.38971,0.44416,1.06952,0.91488,0.91447,0.94775,0.83317,0.58406,0.49829,1.23748,0.0001883,0.0001883,0.0001883
185,154790,0.38088,0.43303,1.05989,0.87945,0.94571,0.94979,0.83641,0.5782,0.4987,1.22835,0.0001784,0.0001784,0.0001784
186,155692,0.39395,0.4474,1.06666,0.9069,0.92851,0.95246,0.84407,0.5777,0.48119,1.2269,0.0001685,0.0001685,0.0001685
