epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,49737.1,0.73453,1.63989,0.40027,0.63951,1.32735,0.85118,0.92752,0.94039,0.64599,0.83871,0.87838,0.84563,0.47686,1.0919,1.81573,0.38006,0.83359,1.74489,0.0017426,0.0017426,0.0017426
28,51410.3,0.76239,1.56692,0.40632,0.63923,1.34296,0.96042,0.98377,0.98422,0.75226,0.86809,0.88934,0.81144,0.48967,0.86844,1.75231,0.42254,0.55753,1.56253,0.0017327,0.0017327,0.0017327
29,53063.2,0.73142,1.58502,0.4033,0.63463,1.31302,0.93264,0.94595,0.97802,0.74139,0.88151,0.92568,0.9033,0.51487,0.92547,1.65695,0.44822,0.60319,1.63554,0.0017228,0.0017228,0.0017228
30,54732,0.74195,1.51883,0.38339,0.60887,1.31615,0.95944,0.99324,0.99336,0.7553,0.84401,0.87744,0.80069,0.49025,0.85177,1.71579,0.50612,0.54046,1.53672,0.0017129,0.0017129,0.0017129
31,56404.2,0.7101,1.40215,0.38135,0.61743,1.30522,0.96941,0.98649,0.98972,0.78715,0.89602,0.91216,0.86333,0.5275,0.81518,1.70909,0.39871,0.51181,1.49445,0.001703,0.001703,0.001703
32,58063,0.73805,1.4755,0.39495,0.61459,1.30855,0.96516,0.97973,0.98981,0.77972,0.85027,0.88514,0.80616,0.48154,0.85053,1.83177,0.36415,0.51871,1.49811,0.0016931,0.0016931,0.0016931
33,59711.2,0.71682,1.62128,0.39135,0.61933,1.30631,0.90772,0.89189,0.96694,0.67394,0.87448,0.85811,0.90785,0.55071,1.0374,1.68667,0.44405,0.72352,1.73341,0.0016832,0.0016832,0.0016832
34,61397.3,0.70692,1.5565,0.3968,0.61858,1.2998,0.94856,0.97297,0.97756,0.76078,0.87473,0.89865,0.83393,0.49631,0.86801,1.71092,0.45163,0.53688,1.60613,0.0016733,0.0016733,0.0016733
35,63049,0.7081,1.55599,0.38854,0.63365,1.30436,0.98657,0.99274,0.99239,0.7652,0.90602,0.91196,0.86089,0.5125,0.86601,1.65991,0.5131,0.48983,1.55003,0.0016634,0.0016634,0.0016634
36,64698.9,0.69489,1.428,0.38588,0.62539,1.29116,0.96663,0.96622,0.98459,0.77769,0.90558,0.91216,0.87149,0.52576,0.80236,1.73576,0.40706,0.55401,1.494,0.0016535,0.0016535,0.0016535
37,66417,0.71649,1.59533,0.38609,0.61786,1.30054,0.95063,0.93919,0.97791,0.74873,0.87175,0.91858,0.89577,0.52443,0.88994,1.76252,0.37353,0.52857,1.58841,0.0016436,0.0016436,0.0016436
38,68091.8,0.68323,1.51912,0.37957,0.59903,1.29399,0.96129,0.97973,0.98728,0.77717,0.91982,0.93016,0.89731,0.50213,0.87128,1.74329,0.50421,0.52424,1.55169,0.0016337,0.0016337,0.0016337
39,69814.1,0.69983,1.52428,0.38444,0.59814,1.28788,0.96844,0.93919,0.98381,0.76442,0.90061,0.91892,0.87379,0.51366,0.84827,1.70398,0.47178,0.57606,1.54535,0.0016238,0.0016238,0.0016238
40,71552.1,0.69051,1.60596,0.3992,0.58231,1.28193,0.95526,0.97973,0.9851,0.76706,0.89949,0.92568,0.86973,0.52177,0.83343,1.69617,0.44291,0.54627,1.56034,0.0016139,0.0016139,0.0016139
41,73248.6,0.70711,1.55889,0.38132,0.60654,1.29103,0.95196,0.95946,0.98719,0.75497,0.91155,0.91892,0.90561,0.52972,0.87677,1.69966,0.41324,0.54493,1.59693,0.001604,0.001604,0.001604
42,74951.9,0.71232,1.50766,0.3884,0.60108,1.29525,0.9668,0.98377,0.99094,0.78423,0.88588,0.8917,0.84021,0.49174,0.83147,1.86493,0.62178,0.54834,1.51407,0.0015941,0.0015941,0.0015941
43,76661.6,0.69246,1.49055,0.37508,0.58004,1.28968,0.96552,0.98649,0.99023,0.78304,0.88592,0.90541,0.83271,0.46883,0.80597,1.86174,0.45414,0.50748,1.49088,0.0015842,0.0015842,0.0015842
44,78355.9,0.68348,1.45623,0.37218,0.58697,1.27985,0.99299,0.9578,0.99209,0.7915,0.87276,0.87162,0.82696,0.48414,0.81559,1.85247,0.43666,0.52453,1.54526,0.0015743,0.0015743,0.0015743
