epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,194226,0.54889,1.01831,0.34064,0.44807,1.17019,0.9837,1,0.99466,0.8346,0.93053,0.94595,0.90567,0.58213,0.72596,1.36401,0.51999,0.41667,1.39251,0.0009407,0.0009407,0.0009407
109,195911,0.54386,1.06054,0.34596,0.43745,1.16428,0.98246,0.98649,0.98347,0.81155,0.92549,0.93243,0.87392,0.58487,0.7586,1.36388,0.35184,0.41583,1.40416,0.0009308,0.0009308,0.0009308
110,197584,0.53528,1.04386,0.33146,0.42681,1.16569,0.9748,0.99324,0.99419,0.82454,0.90791,0.92568,0.88061,0.54853,0.7347,1.3936,0.40907,0.41785,1.39466,0.0009209,0.0009209,0.0009209
111,199232,0.55309,1.02906,0.33861,0.44553,1.17337,0.9966,0.97297,0.99428,0.83182,0.91932,0.92394,0.89106,0.56656,0.73198,1.37365,0.34223,0.40138,1.39387,0.000911,0.000911,0.000911
112,200906,0.52188,1.05809,0.33898,0.4252,1.1589,0.97988,0.98739,0.99466,0.84109,0.92626,0.9336,0.89926,0.57741,0.68483,1.37298,0.38662,0.404,1.36475,0.0009011,0.0009011,0.0009011
113,202577,0.53228,1.03788,0.33913,0.42895,1.16546,0.98176,0.97973,0.98328,0.82219,0.9408,0.93919,0.89068,0.57027,0.71329,1.40421,0.37694,0.39831,1.3681,0.0008912,0.0008912,0.0008912
114,204227,0.52922,1.00077,0.33439,0.43154,1.16084,0.96609,0.98649,0.99069,0.82543,0.93232,0.94595,0.91106,0.60172,0.7254,1.33068,0.34413,0.42257,1.38624,0.0008813,0.0008813,0.0008813
115,205907,0.54192,1.05144,0.32049,0.43268,1.17244,0.98131,0.99324,0.99459,0.84815,0.94125,0.9527,0.9173,0.60924,0.69117,1.26555,0.28391,0.38404,1.3409,0.0008714,0.0008714,0.0008714
116,207577,0.52104,1.02169,0.34502,0.43128,1.14342,0.97323,0.98261,0.99241,0.84669,0.93982,0.9497,0.91765,0.60837,0.6753,1.29834,0.38329,0.45392,1.32289,0.0008615,0.0008615,0.0008615
117,209240,0.53947,0.98563,0.32392,0.44141,1.16314,0.96382,0.98649,0.98875,0.83393,0.93267,0.9359,0.89271,0.60045,0.74131,1.31012,0.36343,0.40986,1.41244,0.0008516,0.0008516,0.0008516
118,210901,0.53556,1.04259,0.32637,0.43176,1.17201,0.97285,0.99324,0.99211,0.82465,0.90644,0.91892,0.86274,0.56903,0.7174,1.35463,0.34136,0.38812,1.39488,0.0008417,0.0008417,0.0008417
119,212552,0.50736,1.02462,0.3309,0.41858,1.14608,0.97986,0.98609,0.98982,0.84904,0.93939,0.94595,0.91019,0.59478,0.67104,1.36333,0.33734,0.39007,1.33253,0.0008318,0.0008318,0.0008318
120,214203,0.50926,0.96388,0.33442,0.42054,1.14699,0.98517,0.98649,0.9935,0.8386,0.94463,0.94595,0.91356,0.60187,0.6989,1.29202,0.33326,0.37712,1.35395,0.0008219,0.0008219,0.0008219
121,215887,0.52242,0.96847,0.34387,0.42948,1.15675,1,0.9988,0.995,0.83864,0.93746,0.93243,0.88399,0.5823,0.69291,1.35781,0.35605,0.38723,1.35016,0.000812,0.000812,0.000812
122,217550,0.52787,1.02429,0.34155,0.42443,1.15881,0.99328,0.99837,0.995,0.82692,0.94622,0.95112,0.91351,0.59563,0.7498,1.28527,0.31489,0.42712,1.40762,0.0008021,0.0008021,0.0008021
123,219190,0.50815,1.00936,0.34563,0.42684,1.15081,0.96978,0.98649,0.99286,0.82405,0.92985,0.94595,0.91058,0.57205,0.7352,1.29482,0.45778,0.42033,1.40201,0.0007922,0.0007922,0.0007922
124,220836,0.51696,0.95266,0.33838,0.41351,1.15246,0.9985,0.99324,0.995,0.84548,0.95756,0.9527,0.91786,0.61095,0.67687,1.27682,0.34919,0.40042,1.3613,0.0007823,0.0007823,0.0007823
125,222499,0.52583,0.99651,0.32948,0.42157,1.15108,0.99094,0.98649,0.99206,0.81009,0.95017,0.94595,0.91866,0.59939,0.74967,1.34612,0.33693,0.42973,1.45008,0.0007724,0.0007724,0.0007724
126,224166,0.53514,0.99835,0.32783,0.43569,1.1696,0.98567,0.99324,0.99446,0.82671,0.9186,0.92568,0.87434,0.57297,0.74041,1.50497,0.39507,0.42944,1.43408,0.0007625,0.0007625,0.0007625
127,225813,0.54276,0.98962,0.33073,0.43897,1.16854,0.99319,0.98515,0.99432,0.82387,0.93869,0.93113,0.90706,0.58683,0.72965,1.4069,0.35488,0.40455,1.40176,0.0007526,0.0007526,0.0007526
128,227467,0.51432,0.95599,0.33047,0.40741,1.14335,0.97964,0.97539,0.98217,0.84446,0.939,0.94595,0.91861,0.61043,0.67111,1.35333,0.38379,0.38902,1.34359,0.0007427,0.0007427,0.0007427
129,229101,0.52431,0.97833,0.32442,0.41737,1.15625,0.97999,0.99272,0.9946,0.84297,0.94537,0.9527,0.92675,0.58817,0.71059,1.3385,0.34099,0.39679,1.35279,0.0007328,0.0007328,0.0007328
130,230746,0.52539,0.97456,0.33543,0.41147,1.15047,0.98624,0.99324,0.99277,0.84663,0.94589,0.9527,0.91985,0.58168,0.67519,1.3238,0.35213,0.38773,1.30686,0.0007229,0.0007229,0.0007229
131,232388,0.52511,0.93353,0.32864,0.42327,1.1574,0.98839,0.99324,0.99486,0.85345,0.94047,0.94595,0.90137,0.59153,0.68834,1.31538,0.37093,0.37236,1.32295,0.000713,0.000713,0.000713
132,234048,0.51783,0.95875,0.33153,0.41738,1.15786,0.97999,0.9925,0.99466,0.8334,0.94663,0.95877,0.92204,0.59678,0.71768,1.24379,0.35756,0.40656,1.38134,0.0007031,0.0007031,0.0007031
133,235707,0.49892,0.95628,0.32165,0.41012,1.13692,0.9801,0.99813,0.99432,0.84684,0.93444,0.94595,0.90455,0.60321,0.7038,1.24137,0.38192,0.39721,1.36149,0.0006932,0.0006932,0.0006932
134,237337,0.48796,0.94716,0.32652,0.40262,1.1399,0.98649,0.98645,0.99295,0.83014,0.93201,0.92623,0.88917,0.5805,0.72728,1.30354,0.43438,0.39246,1.38365,0.0006833,0.0006833,0.0006833
135,238961,0.51368,0.90048,0.31411,0.42171,1.14892,0.98654,0.99034,0.99383,0.83794,0.93645,0.93919,0.89387,0.59117,0.71418,1.29009,0.3645,0.39409,1.37368,0.0006734,0.0006734,0.0006734
136,240584,0.48227,0.91349,0.31851,0.4129,1.13347,0.97043,0.97297,0.98191,0.83317,0.92012,0.92568,0.89587,0.58632,0.71899,1.34622,0.32339,0.40424,1.37668,0.0006635,0.0006635,0.0006635
137,242224,0.50551,0.9335,0.3214,0.40935,1.1502,0.99315,0.97922,0.99288,0.84208,0.95204,0.93888,0.90268,0.59292,0.7222,1.31101,0.56312,0.37057,1.36906,0.0006536,0.0006536,0.0006536
138,243883,0.5138,0.96476,0.33255,0.41441,1.14529,0.97312,0.97834,0.9862,0.83753,0.93956,0.94529,0.91594,0.60831,0.70014,1.23669,0.40736,0.37187,1.35255,0.0006437,0.0006437,0.0006437
139,245542,0.48277,0.85727,0.3059,0.39372,1.1205,0.99057,0.97297,0.99385,0.8366,0.93554,0.91892,0.88566,0.59149,0.69277,1.26336,0.37903,0.35472,1.35837,0.0006338,0.0006338,0.0006338
140,247197,0.49337,0.86631,0.31213,0.41556,1.13206,0.98638,0.9788,0.99395,0.84208,0.91801,0.91216,0.85357,0.58017,0.7265,1.35314,0.42409,0.38652,1.37709,0.0006239,0.0006239,0.0006239
141,248857,0.50293,0.97784,0.31599,0.4221,1.13123,0.98648,0.98604,0.99419,0.85074,0.94593,0.94564,0.91366,0.59722,0.69678,1.33074,0.34298,0.37779,1.37043,0.000614,0.000614,0.000614
142,250490,0.45537,0.87236,0.31861,0.39548,1.11206,0.98006,0.97297,0.98293,0.8326,0.94555,0.93919,0.91813,0.59506,0.70712,1.26893,0.38415,0.39353,1.36709,0.0006041,0.0006041,0.0006041
143,252128,0.493,0.84909,0.32951,0.41986,1.13179,0.99097,0.98649,0.99393,0.83866,0.95704,0.9527,0.9231,0.60147,0.69473,1.2579,0.35907,0.36999,1.35333,0.0005942,0.0005942,0.0005942
144,253768,0.48041,0.8962,0.32372,0.40375,1.13317,1,0.98627,0.9948,0.84815,0.94428,0.93243,0.89641,0.59311,0.69571,1.31498,0.4365,0.38124,1.35588,0.0005843,0.0005843,0.0005843
145,255414,0.47604,0.90158,0.30673,0.39695,1.12982,0.99192,0.97973,0.99379,0.84037,0.94392,0.93243,0.91298,0.6129,0.67666,1.26527,0.36177,0.3715,1.32046,0.0005744,0.0005744,0.0005744
146,257111,0.46651,0.91382,0.32167,0.38837,1.1123,0.98877,0.98649,0.99432,0.84648,0.94814,0.94595,0.90965,0.60974,0.68364,1.28545,0.36751,0.37368,1.32514,0.0005645,0.0005645,0.0005645
147,258784,0.46939,0.84488,0.32382,0.38572,1.10808,0.98523,0.97973,0.98358,0.8522,0.93763,0.93243,0.88935,0.58388,0.6764,1.31699,0.36413,0.37347,1.31334,0.0005546,0.0005546,0.0005546
148,260455,0.46941,0.91309,0.31987,0.38255,1.11059,0.98654,0.99048,0.9948,0.85656,0.95289,0.95669,0.92681,0.62679,0.66354,1.24288,0.3258,0.39337,1.29669,0.0005447,0.0005447,0.0005447
149,262119,0.4679,0.8466,0.30864,0.38905,1.12244,0.98542,0.98649,0.98459,0.85123,0.95168,0.9527,0.92956,0.61201,0.64126,1.29887,0.33544,0.37215,1.26438,0.0005348,0.0005348,0.0005348
150,263771,0.47079,0.87068,0.31059,0.37491,1.12065,0.97798,0.98649,0.98311,0.84144,0.95112,0.95946,0.94298,0.59777,0.69377,1.28023,0.35558,0.3755,1.34315,0.0005249,0.0005249,0.0005249
151,265459,0.46878,0.81855,0.30522,0.36915,1.11337,0.98649,0.98644,0.98397,0.84608,0.95249,0.9527,0.92013,0.58673,0.68307,1.30615,0.29257,0.36826,1.33268,0.000515,0.000515,0.000515
152,267122,0.46113,0.84416,0.31036,0.37519,1.11456,0.96974,0.98649,0.99338,0.84899,0.93231,0.93243,0.89592,0.58975,0.65933,1.33286,0.39781,0.37043,1.30759,0.0005051,0.0005051,0.0005051
153,268769,0.47245,0.87566,0.32563,0.38809,1.12561,0.97231,0.98649,0.98283,0.84536,0.93796,0.93919,0.89278,0.5981,0.66538,1.27121,0.32238,0.36542,1.31363,0.0004952,0.0004952,0.0004952
154,270447,0.46792,0.86628,0.32267,0.37473,1.12515,0.97985,0.98572,0.9835,0.85144,0.9565,0.9527,0.92316,0.59834,0.66705,1.24613,0.38475,0.36489,1.33037,0.0004853,0.0004853,0.0004853
155,272114,0.45535,0.83243,0.29856,0.37621,1.10634,0.99324,0.99273,0.9948,0.85365,0.9653,0.95946,0.92953,0.61535,0.66411,1.21285,0.38999,0.3667,1.31388,0.0004754,0.0004754,0.0004754
156,273795,0.47871,0.86116,0.31626,0.37965,1.13251,0.98598,0.97973,0.99262,0.8481,0.96471,0.95946,0.92482,0.60819,0.66793,1.26823,0.40735,0.3806,1.32436,0.0004655,0.0004655,0.0004655
157,275436,0.43771,0.82285,0.32342,0.36055,1.10642,0.97948,0.97973,0.98309,0.84246,0.93887,0.93919,0.88728,0.5982,0.69677,1.22099,0.31956,0.35944,1.37003,0.0004556,0.0004556,0.0004556
158,277098,0.46145,0.82458,0.31131,0.36205,1.1131,0.99323,0.9918,0.9948,0.84904,0.95265,0.95161,0.91646,0.60006,0.67566,1.21561,0.38891,0.36324,1.34085,0.0004457,0.0004457,0.0004457
159,278733,0.47397,0.79814,0.31169,0.38001,1.12914,0.99215,0.99324,0.99486,0.85393,0.94479,0.94595,0.91203,0.59215,0.66625,1.23657,0.3389,0.37749,1.33377,0.0004358,0.0004358,0.0004358
160,280381,0.45549,0.73765,0.30034,0.37315,1.10366,0.99323,0.99172,0.99486,0.84219,0.95834,0.9527,0.92292,0.60928,0.68131,1.25713,0.33701,0.4038,1.34186,0.0004259,0.0004259,0.0004259
161,282008,0.45941,0.82515,0.30492,0.37635,1.11849,0.98666,0.99953,0.99453,0.83587,0.95263,0.95121,0.92505,0.59773,0.70104,1.25342,0.36908,0.38282,1.3686,0.000416,0.000416,0.000416
162,283623,0.45548,0.85414,0.30704,0.38106,1.10723,0.97997,0.99186,0.99419,0.86059,0.952,0.93807,0.90054,0.62606,0.62848,1.19125,0.30673,0.36836,1.27298,0.0004061,0.0004061,0.0004061
163,285250,0.45489,0.82329,0.30044,0.38152,1.10406,0.99112,0.99324,0.9948,0.86269,0.94593,0.94595,0.91516,0.62738,0.65542,1.19854,0.33947,0.3444,1.30349,0.0003962,0.0003962,0.0003962
164,286899,0.45458,0.81213,0.30452,0.36986,1.11483,0.99891,0.99324,0.995,0.84608,0.96494,0.95946,0.93509,0.61745,0.68134,1.22138,0.35396,0.35691,1.32675,0.0003863,0.0003863,0.0003863
165,288538,0.43179,0.80504,0.30058,0.36745,1.09523,0.99188,1,0.99473,0.855,0.96596,0.95883,0.92745,0.598,0.67448,1.26077,0.32283,0.35799,1.32418,0.0003764,0.0003764,0.0003764
166,290152,0.4412,0.77969,0.31113,0.36737,1.10585,0.99319,0.98531,0.9946,0.84813,0.95913,0.95152,0.92095,0.61632,0.69855,1.21386,0.31223,0.35642,1.37296,0.0003665,0.0003665,0.0003665
167,291816,0.44564,0.75991,0.30076,0.36169,1.10767,0.99225,0.99324,0.99493,0.84981,0.95169,0.9527,0.93391,0.62975,0.69171,1.18904,0.34335,0.35742,1.36142,0.0003566,0.0003566,0.0003566
168,293449,0.45185,0.73827,0.31327,0.37265,1.11322,0.99666,1,0.995,0.84687,0.93605,0.93919,0.901,0.59435,0.69392,1.25722,0.33977,0.36779,1.36413,0.0003467,0.0003467,0.0003467
169,295077,0.43339,0.79121,0.30318,0.36106,1.09332,0.99844,1,0.995,0.85057,0.94447,0.94595,0.89419,0.5938,0.67404,1.23341,0.32347,0.3747,1.33213,0.0003368,0.0003368,0.0003368
170,296722,0.43679,0.73722,0.30127,0.3518,1.09476,0.99253,0.99324,0.99372,0.84384,0.952,0.9527,0.91434,0.6216,0.68043,1.19236,0.33544,0.36944,1.34844,0.0003269,0.0003269,0.0003269
171,298372,0.43618,0.83703,0.30432,0.36286,1.09947,0.99318,0.98439,0.99426,0.85787,0.96591,0.95736,0.93526,0.62657,0.66166,1.17456,0.34629,0.35814,1.31415,0.000317,0.000317,0.000317
172,300023,0.41781,0.742,0.29359,0.34402,1.07954,1,0.99279,0.995,0.8611,0.96598,0.95914,0.93736,0.59861,0.66755,1.2325,0.34214,0.34708,1.32771,0.0003071,0.0003071,0.0003071
173,301694,0.4243,0.73767,0.30309,0.34828,1.08849,0.99637,0.99324,0.995,0.85049,0.94867,0.94595,0.91927,0.58905,0.69181,1.27418,0.34066,0.35737,1.37416,0.0002972,0.0002972,0.0002972
174,303346,0.43359,0.75122,0.3018,0.35661,1.08656,1,0.99218,0.995,0.86099,0.93875,0.93205,0.88294,0.58149,0.6479,1.28955,0.40518,0.35154,1.30301,0.0002873,0.0002873,0.0002873
175,304969,0.43136,0.76097,0.30369,0.35053,1.10531,0.99257,1,0.995,0.86478,0.95233,0.95946,0.92313,0.6129,0.6624,1.24155,0.36129,0.34189,1.32181,0.0002774,0.0002774,0.0002774
176,306584,0.41082,0.7913,0.30241,0.34824,1.07689,0.9983,0.99324,0.995,0.86038,0.95751,0.9527,0.92349,0.62376,0.66044,1.19665,0.35694,0.34226,1.30506,0.0002675,0.0002675,0.0002675
177,308237,0.42406,0.76342,0.30062,0.34873,1.08787,0.99324,0.99254,0.99426,0.85891,0.96619,0.96553,0.9373,0.60878,0.67693,1.21561,0.33045,0.33991,1.34306,0.0002576,0.0002576,0.0002576
178,309897,0.41857,0.72602,0.29697,0.34658,1.07704,0.99286,0.99324,0.99365,0.85288,0.96582,0.96622,0.93797,0.6305,0.68921,1.19251,0.33628,0.34688,1.35514,0.0002477,0.0002477,0.0002477
179,311539,0.41169,0.75349,0.29623,0.33943,1.07954,0.99234,0.99324,0.99331,0.85773,0.95856,0.95946,0.9199,0.62031,0.6759,1.20161,0.35705,0.34281,1.34397,0.0002378,0.0002378,0.0002378
180,313175,0.41545,0.68584,0.28626,0.35164,1.07716,0.99188,1,0.99493,0.85762,0.9469,0.9527,0.9164,0.61917,0.67452,1.20764,0.35815,0.34199,1.33982,0.0002279,0.0002279,0.0002279
181,314819,0.40462,0.70767,0.29109,0.3305,1.07876,0.99324,0.99217,0.99378,0.85829,0.95495,0.9527,0.91622,0.62185,0.66594,1.21388,0.32372,0.34382,1.33262,0.000218,0.000218,0.000218
182,316462,0.41857,0.70425,0.29249,0.34467,1.09086,0.99319,0.98508,0.99358,0.85381,0.95232,0.94467,0.90788,0.61841,0.68671,1.22287,0.34711,0.35002,1.34585,0.0002081,0.0002081,0.0002081
183,318083,0.40536,0.69451,0.29632,0.3272,1.07565,0.98646,0.98463,0.98328,0.85636,0.94585,0.94409,0.90607,0.61217,0.68322,1.24824,0.36731,0.35912,1.33118,0.0001982,0.0001982,0.0001982
184,319744,0.40261,0.66481,0.29062,0.33607,1.07607,0.98648,0.98566,0.98362,0.85851,0.9459,0.94515,0.91411,0.60423,0.69368,1.27628,0.36725,0.35443,1.34193,0.0001883,0.0001883,0.0001883
185,321394,0.41231,0.68628,0.29488,0.34067,1.07934,0.99259,0.99324,0.99493,0.86377,0.95879,0.95946,0.94329,0.61488,0.66929,1.2368,0.32748,0.34785,1.31876,0.0001784,0.0001784,0.0001784
186,323023,0.40158,0.70705,0.29452,0.33402,1.07331,0.99991,0.99324,0.995,0.85553,0.9658,0.95946,0.9376,0.62184,0.65464,1.18295,0.30573,0.35202,1.3178,0.0001685,0.0001685,0.0001685
187,324659,0.39572,0.71399,0.29583,0.32585,1.0642,0.99216,0.97973,0.99351,0.85408,0.95791,0.94595,0.92553,0.62034,0.66661,1.16968,0.32255,0.34496,1.34883,0.0001586,0.0001586,0.0001586
188,326282,0.40404,0.72131,0.28808,0.33897,1.08043,1,0.99258,0.995,0.86117,0.95916,0.95212,0.92348,0.62683,0.65979,1.18903,0.34871,0.34135,1.33374,0.0001487,0.0001487,0.0001487
189,327909,0.37978,0.68904,0.28772,0.32585,1.06183,1,0.99977,0.995,0.86835,0.95945,0.95932,0.93517,0.63536,0.66,1.15722,0.32779,0.34256,1.32023,0.0001388,0.0001388,0.0001388
190,329535,0.39443,0.67593,0.28869,0.32484,1.07266,1,0.99277,0.995,0.86141,0.96597,0.95902,0.93848,0.63068,0.66385,1.17506,0.33694,0.34657,1.33214,0.0001289,0.0001289,0.0001289
191,331186,0.2612,1.04196,0.37464,0.22367,1.01453,0.97346,0.99142,0.9928,0.85888,0.95214,0.94105,0.92576,0.61566,0.6459,1.18926,0.31459,0.36127,1.30973,0.000119,0.000119,0.000119
192,332839,0.25629,1.09932,0.35915,0.20804,1.03785,0.99241,0.99324,0.99493,0.85754,0.95184,0.9527,0.92371,0.61792,0.65294,1.18014,0.30405,0.36532,1.31623,0.0001091,0.0001091,0.0001091
193,334485,0.24139,0.99973,0.34288,0.18765,1.01588,0.99233,0.97973,0.9931,0.86105,0.95794,0.94595,0.92388,0.62075,0.65786,1.1876,0.31098,0.36412,1.31037,9.92e-05,9.92e-05,9.92e-05
194,336126,0.23495,0.96733,0.34017,0.18338,0.99657,0.99268,0.97973,0.99351,0.85978,0.95825,0.94595,0.922,0.62956,0.64447,1.17139,0.29936,0.36099,1.29938,8.93e-05,8.93e-05,8.93e-05
195,337794,0.24259,0.95125,0.33361,0.18372,0.99752,0.98614,0.97973,0.98349,0.85425,0.95863,0.9527,0.92205,0.63231,0.64487,1.16931,0.32263,0.3434,1.30563,7.94e-05,7.94e-05,7.94e-05
196,339455,0.23889,0.94907,0.32888,0.18593,0.99494,0.99313,1,0.995,0.85977,0.9528,0.95946,0.92402,0.63846,0.63746,1.15036,0.2932,0.34009,1.29644,6.95e-05,6.95e-05,6.95e-05
197,341100,0.22232,0.95576,0.33222,0.17888,0.98372,0.99329,0.99976,0.995,0.86169,0.95301,0.95928,0.92569,0.63333,0.62668,1.15505,0.29347,0.34411,1.28301,5.96e-05,5.96e-05,5.96e-05
198,342745,0.22663,0.90446,0.34391,0.17982,0.98672,0.99212,0.99324,0.99486,0.86417,0.95268,0.9527,0.92682,0.63496,0.62702,1.15955,0.29119,0.3439,1.28106,4.97e-05,4.97e-05,4.97e-05
199,344364,0.23088,0.85909,0.32496,0.17548,0.99958,0.99911,0.99324,0.995,0.86084,0.95833,0.9527,0.9268,0.63716,0.62956,1.15964,0.29381,0.3397,1.28697,3.98e-05,3.98e-05,3.98e-05
200,346022,0.21708,0.92342,0.33266,0.17213,0.98858,0.99914,0.99324,0.995,0.86187,0.95834,0.9527,0.92673,0.63122,0.63181,1.16479,0.30151,0.33567,1.29238,2.99e-05,2.99e-05,2.99e-05
